run,email_ms,materie_ms,ageRange_ms,multi_ms
1,1,2,3,1
2,0,1,3,1
3,0,1,2,2
4,0,1,2,1
5,0,2,3,1
6,0,2,2,1
7,0,2,1,1
8,0,2,1,1
9,1,1,2,1
10,0,1,2,1
11,0,1,2,0
12,0,2,1,1
13,0,0,2,1
14,0,1,1,1
15,0,1,2,0
16,0,1,2,0
17,0,2,1,0
18,1,1,1,1
19,0,1,1,1
20,0,1,1,1
21,0,1,2,0
22,0,1,2,0
23,1,1,1,1
24,0,1,2,0
25,0,1,3,0
26,0,1,2,0
27,0,1,2,0
28,0,1,3,0
29,0,1,2,1
30,0,1,1,1
31,0,1,1,1
32,0,1,1,1
33,0,1,1,1
34,0,1,2,0
35,0,1,2,1
36,0,1,1,1
37,0,1,2,0
38,0,1,2,0
39,0,1,2,1
40,0,1,1,1
41,0,1,1,1
42,0,1,1,1
43,0,1,1,1
44,0,1,1,1
45,0,1,1,1
46,0,1,2,0
47,0,1,1,1
48,0,1,1,1
49,0,1,1,1
50,0,1,2,0
51,0,1,2,0
52,0,1,2,0
53,0,2,1,0
54,1,1,1,0
55,0,2,1,1
56,0,1,1,1
57,0,1,1,1
58,0,1,1,1
59,0,1,1,0
60,1,1,1,1
61,0,1,1,1
62,0,1,2,0
63,1,1,1,0
64,1,1,1,1
65,0,1,1,1
66,0,1,0,1
67,0,1,1,1
68,0,1,2,0
69,0,1,2,0
70,0,1,1,1
71,0,1,1,1
72,0,1,1,1
73,0,1,1,1
74,0,1,1,1
75,0,1,1,1
76,0,1,1,1
77,0,1,1,1
78,0,1,1,1
79,0,1,1,1
80,0,1,1,1
81,0,1,2,1
82,0,1,1,1
83,0,1,1,1
84,0,1,1,1
85,0,1,2,0
86,0,1,2,0
87,0,1,2,0
88,0,1,2,0
89,0,2,1,1
90,0,1,1,1
91,0,1,1,1
92,0,1,1,1
93,0,1,1,1
94,0,1,1,1
95,0,1,2,0
96,0,1,2,0
97,0,1,2,0
98,0,1,2,1
99,0,1,1,0
100,0,1,2,0
